1983/1/24	09:21.5	93.64	12.95	79	6.1	0	291	50	39	174	62	133	1.02	-0.43	-0.59	-1.036	-1.064	0.738	235	7	-1.27	330	37	-0.9	136	52	2.16	1.71	26	C012483D	6.76	6.758664074
1983/1/25	28:21.2	176.29	51.43	33	5.1	4.7	300	44	155	49	73	49	1.777	-3.435	1.658	1.09	3.237	-0.083	168	17	-3.79	64	39	-1.22	277	46	5.02	4.4	23	B012583B	5.03	5.032301784
1983/2/1	38:07.0	144.03	-4.66	68	5.3	0	89	42	34	332	68	127	4.099	-4.31	0.211	-1.285	3.835	4.883	36	15	-8.27	136	34	1.56	286	52	6.71	7.49	23	B020183B	5.19	5.186321212
1983/3/9	05:46.2	107.76	-7.24	118	5.4	0	350	56	32	241	64	142	5.157	2.832	-7.989	-8.69	2.912	-6.142	297	5	-10.84	32	45	-3.68	202	44	14.52	12.68	23	B030983A	5.34	5.338746169
1983/3/23	26:55.2	154.59	-6.63	35	5.4	5.6	319	41	30	206	71	126	2.132	1.978	-4.11	-1.256	-2.246	0.482	269	18	-4.83	12	34	1	157	50	3.83	4.33	24	B032383B	5.69	5.694325264
1983/4/17	54:43.9	-26.24	-56.21	47	5.3	4.9	258	60	145	8	60	35	4.136	-1.606	-2.53	-2.014	1.822	-6.204	133	0	-8.29	43	45	1.43	223	45	6.86	7.57	23	B041783C	5.19	5.189397253
1983/7/8	05:00.1	-173.38	-21.82	33	5.5	4.8	73	54	145	185	62	41	3.93	-0.809	-3.121	1.985	-2.621	-5.062	307	5	-7.22	213	42	0.41	42	48	6.81	7.02	23	B070883B	5.17	5.167558075
1983/7/16	32:17.5	126.5	5.52	45	5.2	5.2	138	38	31	24	72	124	0.954	0.666	-1.62	0.763	1.058	0.332	89	19	-2	191	32	0.11	333	51	1.89	1.95	24	B071683B	5.46	5.463356408
1983/7/16	55:24.6	129.36	-7.19	150	5.4	0	318	54	152	65	68	40	0.612	-1.231	0.619	0.354	0.349	0.355	189	9	-1.34	90	45	0.27	287	43	1.07	1.21	24	B071683A	5.33	5.325190247
1983/7/29	03:59.4	56.88	10.41	10	5.7	5.2	289	49	154	37	71	44	0.8	-1.461	0.661	0.342	0.784	-0.798	158	13	-1.86	56	43	0.31	261	44	1.55	1.7	24	B072983B	5.42	5.423632614
1983/9/18	44:26.4	-178.09	-36.41	33	5.2	4.9	351	50	38	234	62	134	5.326	1.593	-6.919	-4.71	0.279	-4.207	295	7	-8.83	30	38	-0.14	196	52	8.98	8.91	23	B091883B	5.24	5.236585136
1983/9/27	59:38.2	26.96	36.69	159	5.5	0	312	46	162	54	78	46	0.366	-1.073	0.707	0.524	0.923	0.196	176	20	-1.25	66	43	-0.32	284	40	1.57	1.41	24	B092783A	5.37	5.369479408
1983/11/9	29:51.6	10.32	44.69	37	5.1	5	14	43	29	262	71	129	2.185	-1.598	-0.587	-2.615	0.08	-3.16	324	16	-4.86	66	37	0.72	214	49	4.15	4.5	23	B110983D	5.04	5.038808343
1983/11/16	54:11.8	96.06	26.13	138	5	0	177	58	147	286	62	37	6.352	-0.833	-5.519	-6.344	-4.003	9.496	51	3	-12.99	318	45	-0.96	144	44	13.95	13.47	23	B111683D	5.36	5.356245064
1983/11/16	07:23.3	119.14	-9.08	93	5.8	0	356	43	146	112	68	52	1.092	-0.184	-0.908	1.153	-0.021	1.231	228	14	-2.01	128	35	0.08	337	52	1.92	1.97	24	B111683C	5.47	5.466310817
