date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2015/01/13 15:33:28.9 124.70 12.80 55.9 0.0 4.7 12 80 179 103 89 10 -0.872 1.580 -0.708 0.528 0.156 2.410 328 7 3.173 107 80 -0.924 237 6 -2.249 2.711 23 C201501131533A 
2015/01/13 17:46:43.6 142.02 39.37 43.7 0.0 4.8 194 29 78 28 62 97 4.170 -0.690 -3.480 1.550 2.230 -1.240 314 72 5.026 205 6 -0.286 113 17 -4.739 4.883 23 C201501131746A 
2015/01/13 17:47:17.2 -178.17 -28.20 194.4 0.0 5.0 150 50 -178 58 88 -40 -0.029 -0.566 0.595 -0.479 -0.257 0.309 111 25 0.846 236 50 0.015 7 28 -0.861 0.853 24 C201501131747A 
2015/01/13 20:03:58.2 147.06 -6.39 45.9 0.0 5.2 289 40 67 137 54 108 3.930 -2.980 -0.951 0.360 -1.420 2.320 98 74 4.323 306 14 0.312 215 7 -4.636 4.480 23 C201501132003A 
2015/01/14 01:15:39.7 128.45 26.38 27.5 0.0 4.9 134 35 91 313 55 89 2.430 -1.270 -1.170 -0.629 0.574 1.160 221 80 2.576 314 0 -0.059 44 10 -2.527 2.552 23 C201501140115A 
2015/01/14 03:39:49.0 -173.15 -15.28 27.5 0.0 4.7 258 22 -134 124 74 -75 -2.220 2.790 -0.576 -3.100 2.340 -0.827 202 28 4.875 300 15 -0.331 55 58 -4.550 4.713 23 C201501140339A 
2015/01/14 05:21:38.8 103.20 29.35 10.0 0.0 5.3 158 44 89 340 46 91 2.880 -0.655 -2.230 0.006 0.145 0.725 285 88 2.884 159 1 -0.373 69 1 -2.516 2.700 23 C201501140521A 
2015/01/14 05:29:40.4 -175.85 -22.09 146.8 0.0 4.6 81 67 -11 176 80 -156 -3.390 0.047 3.340 0.860 1.580 5.590 307 9 7.804 197 65 -3.560 41 24 -4.247 6.026 23 C201501140529A 
2015/01/14 09:23:28.7 -14.49 -16.69 10.0 0.0 4.6 348 46 -61 129 51 -117 -2.090 0.662 1.430 -0.950 -0.387 -0.689 238 3 1.841 147 20 0.633 335 70 -2.473 2.157 23 C201501140923A 
2015/01/14 12:09:35.5 141.98 48.93 577.0 0.0 5.0 159 50 -140 40 60 -47 -0.617 -0.280 0.898 -0.541 -0.050 0.195 102 6 0.943 196 36 0.076 4 53 -1.018 0.981 24 B201501141209A 
