date time lon lat dep Mb Ms strike1 dip1 rake1 strike2 dip2 rake2  mrr mtt mpp mrt mrp mtp p_trend p_plu p_eigen b_trend b_plu b_eigen t_trend t_plu t_eigen scale exponent event_name 
2014/01/19 18:48:48.0 -83.75 -43.25 10.0 0.0 4.9 332 44 -106 174 48 -75 -2.900 0.510 2.380 0.577 0.350 -0.631 254 2 2.578 344 11 0.444 154 79 -3.033 2.805 23 C201401191848A 
2014/01/20 02:52:44.3 175.81 -40.66 28.0 0.0 6.1 65 16 -55 209 77 -99 -1.540 0.897 0.642 1.330 2.750 0.787 307 32 3.334 211 9 0.179 107 57 -3.514 3.424 25 C201401200252A 
2014/01/20 04:45:13.6 102.85 -4.92 65.0 0.0 4.9 289 31 80 120 60 96 6.130 -5.040 -1.100 2.810 -2.040 2.240 45 75 7.079 297 5 -0.147 206 15 -6.943 7.011 23 C201401200445A 
2014/01/20 15:33:13.2 138.23 9.01 22.4 0.0 5.2 52 46 113 201 49 68 0.982 -0.335 -0.648 0.214 -0.218 -0.512 41 74 1.072 216 16 -0.045 306 1 -1.028 1.050 24 C201401201533A 
2014/01/20 17:33:52.3 138.15 8.99 26.1 0.0 4.9 198 50 49 72 55 128 2.000 -1.030 -0.971 0.781 -0.479 -2.010 42 60 2.529 228 30 0.490 136 3 -3.021 2.775 23 C201401201733A 
2014/01/21 01:29:07.0 -174.68 -15.14 6.1 0.0 6.1 20 79 -177 289 87 -11 -0.233 1.560 -1.330 0.395 -0.194 1.750 335 6 2.413 96 78 -0.202 244 10 -2.215 2.314 25 C201401210129A 
2014/01/21 10:50:01.7 156.06 49.16 43.8 0.0 5.2 213 30 91 32 60 89 1.700 -0.454 -1.240 0.493 0.825 -0.817 300 75 1.950 32 1 0.059 122 15 -2.003 1.976 24 C201401211050A 
2014/01/21 13:49:54.2 -97.53 -36.14 10.0 0.0 4.8 179 84 5 89 85 174 -0.209 0.243 -0.034 0.401 -0.290 -3.210 44 8 3.384 234 82 -0.274 134 1 -3.110 3.247 23 C201401211349A 
2014/01/21 21:02:54.8 53.54 -36.03 9.8 0.0 4.5 271 76 -14 5 76 -165 -0.784 0.856 -0.072 0.863 -0.984 4.220 138 0 4.637 48 70 -0.302 228 20 -4.336 4.487 23 C201401212102A 
2014/01/22 03:41:29.5 -174.69 -15.11 11.3 0.0 5.5 23 74 -168 290 79 -17 -0.260 1.290 -1.030 0.318 -0.443 1.220 337 3 1.820 77 70 -0.075 246 20 -1.745 1.783 24 C201401220341A 
